subject,trial_id,gain,loss,trial_pay,stage_pay,win_plan_take_final_take,win_plan_take_final_reject,win_plan_reject_final_take,win_plan_reject_final_reject,lose_plan_take_final_take,lose_plan_take_final_reject,lose_plan_reject_final_take,lose_plan_reject_final_reject
1,1,200,-100,0,-100,0,0,0,0,1,0,0,0
1,2,200,-200,100,200,0,1,0,0,0,0,0,0
1,3,160,-140,400,-140,0,0,0,0,0,1,0,0
1,4,120,-100,-140,120,0,0,1,0,0,0,0,0
1,5,180,-200,20,180,0,1,0,0,0,0,0,0
1,6,200,-120,180,200,1,0,0,0,0,0,0,0
1,7,180,-100,80,-100,0,0,0,0,1,0,0,0
1,8,100,-120,80,-120,0,0,0,0,0,0,0,1
1,9,200,-160,-120,-160,0,0,0,0,0,0,0,1
1,10,200,-220,-160,200,0,0,0,1,0,0,0,0
1,11,160,-100,200,-100,0,0,0,0,0,0,1,0
1,12,200,-180,60,-180,0,0,0,0,0,0,0,1
1,13,200,-100,-180,200,1,0,0,0,0,0,0,0
1,14,140,-100,400,140,0,0,0,1,0,0,0,0
1,15,200,-140,140,200,0,0,1,0,0,0,0,0
1,16,80,-100,60,-100,0,0,0,0,0,0,0,1
1,17,100,-100,-100,-100,0,0,0,0,1,0,0,0
1,18,200,-200,-200,200,1,0,0,0,0,0,0,0
1,19,160,-140,400,-140,0,0,0,0,0,0,0,1
1,20,120,-100,-140,120,0,0,0,1,0,0,0,0
1,21,180,-200,120,180,0,0,0,1,0,0,0,0
1,22,200,-120,180,200,1,0,0,0,0,0,0,0
1,23,180,-100,80,-100,0,0,0,0,0,0,0,1
1,24,100,-120,-100,-120,0,0,0,0,0,0,0,1
1,25,200,-160,-120,-160,0,0,0,0,0,0,1,0
1,26,200,-220,-160,200,0,0,0,1,0,0,0,0
1,27,160,-100,200,-100,0,0,0,0,1,0,0,0
1,28,200,-180,60,-180,0,0,0,0,1,0,0,0
1,29,200,-100,20,200,1,0,0,0,0,0,0,0
1,30,140,-100,400,140,1,0,0,0,0,0,0,0
1,31,200,-140,40,200,1,0,0,0,0,0,0,0
1,32,80,-100,60,-100,0,0,0,0,0,0,0,1
1,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
2,1,200,-100,0,-100,0,0,0,0,0,0,0,1
2,2,200,-200,-100,200,1,0,0,0,0,0,0,0
2,3,160,-140,400,-140,0,0,0,0,1,0,0,0
2,4,120,-100,20,120,1,0,0,0,0,0,0,0
2,5,180,-200,20,180,0,0,0,1,0,0,0,0
2,6,200,-120,180,200,1,0,0,0,0,0,0,0
2,7,180,-100,80,-100,0,0,0,0,0,0,1,0
2,8,100,-120,80,-120,0,0,0,0,0,0,0,1
2,9,200,-160,-120,-160,0,0,0,0,0,0,0,1
2,10,200,-220,-160,200,0,0,0,1,0,0,0,0
2,11,160,-100,200,-100,0,0,0,0,1,0,0,0
2,12,200,-180,60,-180,0,0,0,0,0,0,0,1
2,13,200,-100,-180,200,1,0,0,0,0,0,0,0
2,14,140,-100,400,140,0,0,0,1,0,0,0,0
2,15,200,-140,140,200,1,0,0,0,0,0,0,0
2,16,80,-100,60,-100,0,0,0,0,0,0,0,1
2,17,100,-100,-100,-100,0,0,0,0,0,0,0,1
2,18,200,-200,-100,200,0,0,0,1,0,0,0,0
2,19,160,-140,200,-140,0,0,0,0,0,0,0,1
2,20,120,-100,-140,120,1,0,0,0,0,0,0,0
2,21,180,-200,20,180,0,1,0,0,0,0,0,0
2,22,200,-120,180,200,0,0,0,1,0,0,0,0
2,23,180,-100,200,-100,0,0,0,0,0,0,0,1
2,24,100,-120,-100,-120,0,0,0,0,0,1,0,0
2,25,200,-160,-240,-160,0,0,0,0,0,0,0,1
2,26,200,-220,-160,200,0,0,0,1,0,0,0,0
2,27,160,-100,200,-100,0,0,0,0,1,0,0,0
2,28,200,-180,60,-180,0,0,0,0,0,0,0,1
2,29,200,-100,-180,200,0,0,1,0,0,0,0,0
2,30,140,-100,400,140,0,1,0,0,0,0,0,0
2,31,200,-140,140,200,0,0,0,1,0,0,0,0
2,32,80,-100,200,-100,0,0,0,0,0,0,0,1
2,33,100,-100,-100,-100,0,0,0,0,0,0,0,1
3,1,200,-100,0,-100,0,0,0,0,1,0,0,0
3,2,200,-200,100,200,0,0,0,1,0,0,0,0
3,3,160,-140,200,-140,0,0,0,0,1,0,0,0
3,4,120,-100,20,120,1,0,0,0,0,0,0,0
3,5,180,-200,20,180,0,0,0,1,0,0,0,0
3,6,200,-120,180,200,1,0,0,0,0,0,0,0
3,7,180,-100,80,-100,0,0,0,0,1,0,0,0
3,8,100,-120,80,-120,0,0,0,0,1,0,0,0
3,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
3,10,200,-220,-320,200,0,0,0,1,0,0,0,0
3,11,160,-100,200,-100,0,0,0,0,1,0,0,0
3,12,200,-180,60,-180,0,0,0,0,1,0,0,0
3,13,200,-100,20,200,1,0,0,0,0,0,0,0
3,14,140,-100,400,140,0,0,0,1,0,0,0,0
3,15,200,-140,140,200,1,0,0,0,0,0,0,0
3,16,80,-100,60,-100,0,0,0,0,1,0,0,0
3,17,100,-100,-200,-100,0,0,0,0,0,0,1,0
3,18,200,-200,-100,200,0,0,1,0,0,0,0,0
3,19,160,-140,400,-140,0,0,0,0,0,0,0,1
3,20,120,-100,-140,120,1,0,0,0,0,0,0,0
3,21,180,-200,20,180,1,0,0,0,0,0,0,0
3,22,200,-120,360,200,1,0,0,0,0,0,0,0
3,23,180,-100,80,-100,0,0,0,0,1,0,0,0
3,24,100,-120,80,-120,0,0,0,0,1,0,0,0
3,25,200,-160,-240,-160,0,0,0,0,1,0,0,0
3,26,200,-220,-320,200,1,0,0,0,0,0,0,0
3,27,160,-100,400,-100,0,0,0,0,0,0,1,0
3,28,200,-180,-100,-180,0,0,0,0,1,0,0,0
3,29,200,-100,20,200,0,0,0,1,0,0,0,0
3,30,140,-100,200,140,0,0,0,1,0,0,0,0
3,31,200,-140,140,200,0,0,0,1,0,0,0,0
3,32,80,-100,200,-100,0,0,0,0,0,0,0,1
3,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
4,1,200,-100,0,-100,0,0,0,0,1,0,0,0
4,2,200,-200,100,200,1,0,0,0,0,0,0,0
4,3,160,-140,400,-140,0,0,0,0,1,0,0,0
4,4,120,-100,20,120,1,0,0,0,0,0,0,0
4,5,180,-200,20,180,1,0,0,0,0,0,0,0
4,6,200,-120,360,200,1,0,0,0,0,0,0,0
4,7,180,-100,80,-100,0,0,0,0,0,0,0,1
4,8,100,-120,-100,-120,0,0,0,0,0,1,0,0
4,9,200,-160,-120,-160,0,0,0,0,0,0,1,0
4,10,200,-220,-160,200,1,0,0,0,0,0,0,0
4,11,160,-100,400,-100,0,0,0,0,0,0,1,0
4,12,200,-180,60,-180,0,0,0,0,0,0,1,0
4,13,200,-100,-180,200,1,0,0,0,0,0,0,0
4,14,140,-100,400,140,1,0,0,0,0,0,0,0
4,15,200,-140,40,200,1,0,0,0,0,0,0,0
4,16,80,-100,60,-100,0,0,0,0,0,1,0,0
4,17,100,-100,-200,-100,0,0,0,0,0,1,0,0
4,18,200,-200,-100,200,1,0,0,0,0,0,0,0
4,19,160,-140,400,-140,0,0,0,0,0,1,0,0
4,20,120,-100,-140,120,1,0,0,0,0,0,0,0
4,21,180,-200,20,180,1,0,0,0,0,0,0,0
4,22,200,-120,360,200,0,1,0,0,0,0,0,0
4,23,180,-100,200,-100,0,0,0,0,0,0,0,1
4,24,100,-120,-100,-120,0,0,0,0,0,0,1,0
4,25,200,-160,-120,-160,0,0,0,0,1,0,0,0
4,26,200,-220,-320,200,1,0,0,0,0,0,0,0
4,27,160,-100,400,-100,0,0,0,0,1,0,0,0
4,28,200,-180,60,-180,0,0,0,0,1,0,0,0
4,29,200,-100,20,200,1,0,0,0,0,0,0,0
4,30,140,-100,400,140,1,0,0,0,0,0,0,0
4,31,200,-140,40,200,1,0,0,0,0,0,0,0
4,32,80,-100,60,-100,0,0,0,0,1,0,0,0
4,33,100,-100,-200,-100,0,0,0,0,1,0,0,0
5,1,200,-100,0,-100,0,0,0,0,1,0,0,0
5,2,200,-200,100,200,0,1,0,0,0,0,0,0
5,3,160,-140,400,-140,0,0,0,0,1,0,0,0
5,4,120,-100,20,120,0,0,0,1,0,0,0,0
5,5,180,-200,120,180,0,0,0,1,0,0,0,0
5,6,200,-120,180,200,0,0,0,1,0,0,0,0
5,7,180,-100,200,-100,0,0,0,0,1,0,0,0
5,8,100,-120,80,-120,0,0,0,0,0,1,0,0
5,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
