gamble_id,gain,loss,stage1_outcome,prediction,modal_choice,BF
1,200,-200,x_G,SS,RR (0.44),-12.383857346335724
3,120,-100,x_G,SS,RR (0.56),-16.967378333253013
4,180,-200,x_G,SS,SS (0.55),-26.666480296188336
5,200,-120,x_G,SS,RR (0.64),-15.029382839471584
9,200,-220,x_G,SS,SS (0.47),-29.798271750372074
12,200,-100,x_G,SS,RR (0.66),-35.6775101345931
13,140,-100,x_G,SS,RR (0.48),-11.303993838118581
14,200,-140,x_G,SS,RR (0.47),-27.582388274622016
0,200,-100,x_L,SS,RR (0.67),NaN
2,160,-140,x_L,SS,RR (0.59),-15.856228085283506
6,180,-100,x_L,SS,RR (0.66),-25.42288713018237
7,100,-120,x_L,SR,RR (0.46),-13.787196461307397
8,200,-160,x_L,SS,RR (0.61),-36.519788130905404
10,160,-100,x_L,SS,RR (0.56),-24.495832592396862
11,200,-180,x_L,SS,RR (0.5),-18.429969589961527
15,80,-100,x_L,SR,SS (0.48),-15.627223765188772
16,100,-100,x_L,SR,RR (0.53),-15.426484681506212
