gamble_id,gain,loss,stage1_outcome,signal_to_noise,BF
1,200,-200,x_G,0.0,-2.163865890531453
2,120,-100,x_G,0.09090909090909091,-10.998025703510248
3,180,-200,x_G,-0.05263157894736842,-2.5354561049764865
4,200,-120,x_G,0.25,-13.945621485900537
5,200,-220,x_G,-0.047619047619047616,-5.486889393430029
6,200,-100,x_G,0.3333333333333333,-18.573751677772048
7,140,-100,x_G,0.16666666666666666,-8.246194159489875
8,200,-140,x_G,0.17647058823529413,-5.954249208891388
10,160,-140,x_L,0.06666666666666667,-8.702959849449853
11,180,-100,x_L,0.2857142857142857,-18.621077453535197
12,100,-120,x_L,-0.09090909090909091,-1.128700636447838
13,200,-160,x_L,0.1111111111111111,-14.452702254956893
14,160,-100,x_L,0.23076923076923078,-13.823807979471725
15,200,-180,x_L,0.05263157894736842,-11.27904289018826
16,80,-100,x_L,-0.1111111111111111,-4.035543412525989
17,100,-100,x_L,0.0,-6.887217019378928
