gamble_id,gain,loss,stage1_outcome,signal_to_noise,BF
1,200,-200,x_G,0.0,-12.456748671567887
2,120,-100,x_G,0.09090909090909091,-26.61507451702409
3,180,-200,x_G,-0.05263157894736842,-15.07807596880238
4,200,-120,x_G,0.25,-29.896598759830134
5,200,-220,x_G,-0.047619047619047616,-15.907870329905986
6,200,-100,x_G,0.3333333333333333,-36.42666007642039
7,140,-100,x_G,0.16666666666666666,-24.496707706062605
8,200,-140,x_G,0.17647058823529413,-18.4724495078008
10,160,-140,x_L,0.06666666666666667,-16.901601546641857
11,180,-100,x_L,0.2857142857142857,-35.68443985182616
12,100,-120,x_L,-0.09090909090909091,-7.862004327860803
13,200,-160,x_L,0.1111111111111111,-27.51707429561452
14,160,-100,x_L,0.23076923076923078,-25.451692650739425
15,200,-180,x_L,0.05263157894736842,-20.843997356680045
16,80,-100,x_L,-0.1111111111111111,-15.646019098728448
17,100,-100,x_L,0.0,-15.404107081082552
